Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абдрахманов,Александр,муж,56,183,Калининград,инженер,70000,да
Абдулаева,Анна,жен,47,160,Казань,инженер,20000,нет
Абдулдианов,Михаил,муж,20,158,Санкт-Петербург,учитель,20000,нет
Абдулмянов,Александр,муж,27,182,Мурманск,директор предприятия,80000,да
Абдурахманов,Пётр,муж,51,178,Санкт-Петербург,ведущий инженер,250000,да
Абдюханова,Ольга,жен,47,185,Санкт-Петербург,руководитель группы,80000,да
Абидаева,Ольга,жен,36,173,Владимир,руководитель группы,250000,да
Аблазов,Сергей,муж,57,171,Ачинск,руководитель группы,800000,да
Аблякимов,Пётр,муж,20,176,Уфа,учитель,50000,нет
Аболоншев,Максим,муж,50,167,Уфа,учитель,20000,да
Абразякова,Юлия,жен,47,155,Санкт-Петербург,директор предприятия,200000,да
Абрамычев,Антон,муж,48,177,Казань,бухгалтер,20000,нет
Абратанов,Василий,муж,29,174,Санкт-Петербург,инженер,100000,да
Абронов,Александр,муж,36,184,Калининград,учитель,100000,да
Абряндина,Ольга,жен,27,178,Санкт-Петербург,конструктор,800000,да
Абубикарова,Марина,жен,46,163,Санкт-Петербург,конструктор,60000,да
Абузаров,Никита,муж,25,159,Владимир,конструктор,70000,да
Абызбаева,Диана,жен,27,181,Уфа,руководитель группы,80000,нет
Авагина,Анна,жен,49,172,Санкт-Петербург,бухгалтер,100000,да
Аванцев,Пётр,муж,36,185,Владимир,кондитер,25000,да
Авденина,Мария,жен,21,167,Владимир,руководитель группы,150000,да
Авескина,Мария,жен,56,184,Уфа,ведущий инженер,800000,нет
Авзаметдинов,Сергей,муж,36,183,Мурманск,директор предприятия,60000,да
Авлахов,Александр,муж,32,160,Ачинск,директор предприятия,700000,нет
Аврамков,Михаил,муж,36,178,Рязань,ведущий инженер,700000,да
Автарханова,Кристина,жен,35,167,Калининград,бухгалтер,70000,нет
Авустиновича,Анастасия,жен,48,181,Санкт-Петербург,конструктор,90000,да
Агазадеа,Дарья,жен,56,181,Москва,учитель,400000,нет
Агамалова,Мария,жен,39,169,Санкт-Петербург,конструктор,25000,да
Агапонова,Кристина,жен,41,173,Омск,руководитель группы,900000,да
Агафонцев,Сергей,муж,40,166,Калининград,конструктор,100000,да
Агдгомелашвилиа,Дарья,жен,30,158,Казань,бухгалтер,90000,да
Агибалов,Максим,муж,18,169,Владимир,инженер,25000,нет
Агилина,Дарья,жен,45,175,Москва,кондитер,150000,нет
Аглова,Диана,жен,31,180,Рязань,директор предприятия,350000,да
Агурьянов,Никита,муж,59,174,Мурманск,руководитель группы,60000,нет
Адалев,Антон,муж,19,171,Санкт-Петербург,бухгалтер,100000,да
Адесников,Сергей,муж,29,188,Омск,бухгалтер,300000,да
Аджарова,Ольга,жен,23,170,Москва,конструктор,200000,да
Адитярова,Дарья,жен,38,157,Ачинск,инженер,80000,нет
Адмиралов,Антон,муж,45,165,Казань,ведущий инженер,900000,нет
Адояна,Анна,жен,27,187,Омск,конструктор,40000,да
Ажгиреева,Ольга,жен,18,176,Мурманск,ведущий инженер,30000,нет
Азабков,Максим,муж,25,187,Ачинск,ведущий инженер,800000,да
Азарнова,Дарья,жен,51,156,Казань,учитель,100000,нет
Азбукина,Мария,жен,37,186,Владимир,учитель,250000,да
Азгальдов,Василий,муж,45,184,Рязань,ведущий инженер,800000,да
Азиева,Диана,жен,54,159,Рязань,кондитер,900000,нет
Азначеев,Андрей,муж,32,179,Владимир,учитель,300000,да
Аиткулова,Ольга,жен,32,180,Калининград,учитель,350000,да
Айдинов,Александр,муж,40,170,Ачинск,конструктор,200000,да
Айзлера,Юлия,жен,22,156,Ачинск,руководитель группы,35000,нет
Аймаранов,Максим,муж,32,180,Казань,конструктор,300000,нет
Айнулов,Александр,муж,32,178,Рязань,инженер,25000,нет
Айшина,Мария,жен,35,188,Москва,руководитель группы,35000,да
Акбергенов,Василий,муж,59,165,Уфа,бухгалтер,100000,да
Акимова-орлов,Андрей,муж,54,170,Казань,руководитель группы,900000,да
Акинфеев,Пётр,муж,51,173,Москва,учитель,20000,нет
Акитина,Дарья,жен,28,176,Ачинск,учитель,300000,нет
Аколджанова,Юлия,жен,40,188,Омск,инженер,800000,да
Акопов,Сергей,муж,35,176,Москва,ведущий инженер,20000,да
Аксянов,Сергей,муж,33,167,Омск,кондитер,60000,да
Акураткова,Кристина,жен,59,174,Уфа,директор предприятия,400000,нет
Алабова,Анастасия,жен,27,162,Санкт-Петербург,бухгалтер,70000,да
Алавердина,Марина,жен,24,160,Санкт-Петербург,руководитель группы,45000,да
Алачеев,Антон,муж,29,180,Мурманск,инженер,200000,да
Алдуненкова,Кристина,жен,21,162,Ачинск,конструктор,35000,да
Алдушина,Дарья,жен,22,168,Омск,кондитер,45000,нет
Алекасов,Василий,муж,50,167,Санкт-Петербург,ведущий инженер,40000,да
Александрина,Анна,жен,37,187,Казань,руководитель группы,30000,да
Алексеева,Евгения,жен,32,159,Уфа,кондитер,90000,нет
Алексеева-трофимов,Михаил,муж,59,188,Рязань,ведущий инженер,250000,да
Алексенов,Александр,муж,49,166,Ачинск,инженер,90000,нет
Аленикова,Мария,жен,24,163,Рязань,бухгалтер,200000,да
Аленькина,Кристина,жен,51,164,Казань,руководитель группы,60000,да
Алещенкова,Диана,жен,41,175,Владимир,директор предприятия,800000,нет
Ализгарова,Диана,жен,21,178,Казань,директор предприятия,20000,нет
Алимбаева,Евгения,жен,47,189,Рязань,кондитер,20000,нет
Алипатов,Александр,муж,25,160,Мурманск,руководитель группы,900000,да
Алиутдинов,Михаил,муж,35,170,Мурманск,директор предприятия,250000,нет
Алихманов,Михаил,муж,57,185,Москва,ведущий инженер,500000,нет
Аллавердова,Анастасия,жен,35,162,Санкт-Петербург,ведущий инженер,700000,да
Алнева,Дарья,жен,39,166,Уфа,учитель,60000,нет
Алончиков,Максим,муж,43,183,Рязань,директор предприятия,40000,да
