Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абадулина,Диана,жен,57,186,Калининград,инженер,900000,да
Абальмасов,Никита,муж,38,185,Мурманск,директор предприятия,900000,нет
Абаротова,Анастасия,жен,38,186,Санкт-Петербург,инженер,250000,да
Аббакумова,Мария,жен,54,174,Казань,конструктор,500000,да
Абдикеева,Анастасия,жен,32,160,Мурманск,кондитер,800000,да
Абдразяков,Андрей,муж,34,188,Уфа,кондитер,350000,нет
Абдулвалеева,Диана,жен,28,160,Ачинск,инженер,600000,нет
Абдулдаянов,Сергей,муж,39,158,Уфа,инженер,100000,нет
Абдулкалева,Евгения,жен,40,173,Владимир,руководитель группы,60000,нет
Абдулханнянова,Марина,жен,32,175,Санкт-Петербург,конструктор,600000,нет
Абдульханова,Кристина,жен,40,156,Владимир,инженер,40000,нет
Абдусамадов,Антон,муж,44,182,Мурманск,кондитер,800000,да
Абейдулина,Марина,жен,42,187,Уфа,директор предприятия,35000,да
Абенов,Василий,муж,51,188,Казань,ведущий инженер,150000,да
Абива,Дарья,жен,22,183,Владимир,бухгалтер,200000,да
Абидина,Дарья,жен,36,175,Калининград,директор предприятия,500000,нет
Абилова,Ольга,жен,59,164,Калининград,директор предприятия,80000,да
Аблекова,Мария,жен,33,157,Казань,учитель,60000,да
Абоев,Никита,муж,30,158,Ачинск,директор предприятия,350000,нет
Аболдова,Мария,жен,59,165,Санкт-Петербург,конструктор,600000,да
Аболмазов,Александр,муж,40,166,Ачинск,руководитель группы,600000,нет
Аборкина,Юлия,жен,28,173,Москва,ведущий инженер,60000,нет
Абоятина,Кристина,жен,47,160,Казань,директор предприятия,250000,да
Абрамова,Мария,жен,47,159,Калининград,конструктор,25000,нет
Абрашнев,Максим,муж,27,166,Казань,учитель,40000,нет
Абрикосов,Антон,муж,41,159,Москва,конструктор,70000,да
Абросов,Антон,муж,18,184,Владимир,бухгалтер,60000,нет
Абукадниев,Сергей,муж,22,188,Казань,руководитель группы,50000,да
Абушаев,Михаил,муж,51,157,Владимир,кондитер,90000,да
Абушкина,Диана,жен,22,166,Владимир,бухгалтер,250000,да
Абянов,Василий,муж,31,158,Казань,директор предприятия,150000,нет
Авдакушина,Евгения,жен,57,156,Санкт-Петербург,руководитель группы,300000,да
Авдалов,Василий,муж,43,189,Ачинск,бухгалтер,150000,нет
Авдишева,Диана,жен,59,158,Уфа,ведущий инженер,350000,да
Авенирова,Кристина,жен,42,165,Казань,бухгалтер,70000,нет
Аверочкина,Юлия,жен,20,159,Владимир,ведущий инженер,150000,нет
Аврелина,Анастасия,жен,48,155,Санкт-Петербург,учитель,45000,нет
Автократова,Дарья,жен,21,177,Ачинск,инженер,45000,да
Авхадеев,Василий,муж,51,162,Владимир,руководитель группы,350000,да
Авхуков,Андрей,муж,57,178,Уфа,конструктор,500000,нет
Авюхина,Анастасия,жен,51,156,Мурманск,директор предприятия,30000,нет
Агаева,Юлия,жен,22,187,Уфа,кондитер,70000,да
