Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абабакирова,Кристина,жен,44,158,Калининград,конструктор,500000,нет
Абакирова,Ольга,жен,44,164,Рязань,директор предприятия,900000,да
Абаньшина,Мария,жен,57,181,Уфа,директор предприятия,200000,да
Абарышева,Евгения,жен,52,170,Калининград,руководитель группы,350000,да
Аббялова,Марина,жен,33,167,Владимир,учитель,60000,да
Абдразяков,Андрей,муж,22,158,Мурманск,директор предприятия,800000,нет
Абдулберова,Юлия,жен,49,185,Санкт-Петербург,руководитель группы,600000,нет
Абдулкодыров,Пётр,муж,44,166,Омск,конструктор,350000,да
Абдулова,Дарья,жен,27,162,Рязань,руководитель группы,350000,нет
Абдурашитова,Мария,жен,21,164,Москва,кондитер,600000,да
Абдыязова,Анастасия,жен,32,176,Уфа,конструктор,700000,да
Абелова,Евгения,жен,51,157,Мурманск,конструктор,500000,нет
Абельхаирова,Мария,жен,44,177,Мурманск,конструктор,300000,да
Абигаев,Антон,муж,45,183,Омск,директор предприятия,40000,нет
Абитов,Сергей,муж,46,175,Владимир,директор предприятия,250000,нет
Аблезина,Дарья,жен,18,177,Казань,учитель,300000,да
Аболемова,Диана,жен,53,181,Мурманск,кондитер,90000,нет
Аболоношев,Василий,муж,45,183,Владимир,учитель,800000,нет
Абояна,Анна,жен,55,161,Омск,руководитель группы,400000,нет
Абрамейцева,Мария,жен,58,160,Мурманск,ведущий инженер,500000,нет
Абрамочкина,Марина,жен,30,172,Москва,ведущий инженер,90000,нет
Абрасиенков,Андрей,муж,25,160,Санкт-Петербург,инженер,350000,нет
Абратюнов,Андрей,муж,59,171,Калининград,инженер,400000,да
Аброшмов,Антон,муж,36,186,Уфа,инженер,60000,да
Абубекирова,Ольга,жен,22,183,Калининград,руководитель группы,300000,нет
Абузина,Марина,жен,27,175,Москва,кондитер,70000,нет
Абулеев,Никита,муж,26,186,Ачинск,учитель,30000,нет
Абызов,Пётр,муж,29,172,Калининград,инженер,25000,нет
Авалова,Анастасия,жен,56,169,Ачинск,ведущий инженер,35000,да
Авдеев,Михаил,муж,52,187,Мурманск,бухгалтер,70000,нет
Авдотьина,Юлия,жен,59,184,Владимир,ведущий инженер,150000,да
Авдюничев,Антон,муж,35,170,Владимир,кондитер,500000,да
Аверкеева,Анастасия,жен,24,179,Казань,кондитер,40000,да
Аверхов,Максим,муж,41,163,Уфа,учитель,600000,нет
Аветова,Марина,жен,31,182,Калининград,директор предприятия,800000,нет
Авильчева,Марина,жен,22,166,Омск,инженер,250000,да
Авксентьев,Никита,муж,40,187,Рязань,руководитель группы,40000,нет
Авотина,Кристина,жен,21,187,Санкт-Петербург,бухгалтер,300000,да
Аврелькина,Евгения,жен,28,163,Рязань,ведущий инженер,100000,нет
Авсиевича,Анна,жен,20,171,Рязань,бухгалтер,300000,нет
Австрияков,Василий,муж,31,164,Мурманск,кондитер,250000,нет
Автократов,Александр,муж,29,178,Санкт-Петербург,бухгалтер,500000,нет
Автюкова,Анастасия,жен,53,166,Мурманск,директор предприятия,500000,нет
Авшаров,Александр,муж,43,168,Калининград,руководитель группы,70000,нет
Агагусейнов,Василий,муж,19,181,Омск,инженер,60000,да
Агапов,Василий,муж,21,161,Мурманск,кондитер,600000,да
Агапытов,Максим,муж,40,188,Калининград,кондитер,350000,нет
Агарышев,Александр,муж,18,168,Калининград,инженер,70000,нет
Агашков,Максим,муж,28,155,Москва,конструктор,40000,да
Агеечива,Дарья,жен,32,171,Калининград,кондитер,500000,да
Агешева,Ольга,жен,39,170,Рязань,кондитер,400000,да
Агинкова,Диана,жен,47,174,Уфа,учитель,500000,нет
Аглодина,Кристина,жен,18,176,Владимир,бухгалтер,800000,да
Агрошкова,Марина,жен,27,174,Ачинск,руководитель группы,500000,нет
Агурцов,Пётр,муж,25,170,Казань,бухгалтер,20000,да
Агуэра,Мария,жен,29,164,Мурманск,кондитер,60000,нет
Адельшана,Ольга,жен,43,161,Калининград,кондитер,300000,да
Аджимамедов,Михаил,муж,50,187,Мурманск,учитель,150000,да
Адлейба,Дарья,жен,51,176,Санкт-Петербург,ведущий инженер,200000,нет
Адрианова,Анастасия,жен,41,179,Омск,директор предприятия,35000,нет
Адулбаев,Максим,муж,31,189,Владимир,инженер,300000,да
Ажажа,Марина,жен,34,164,Владимир,бухгалтер,40000,нет
Азарков,Антон,муж,25,177,Мурманск,руководитель группы,400000,да
Азарцов,Максим,муж,32,187,Уфа,директор предприятия,400000,нет
Азерникова,Ольга,жен,57,162,Москва,конструктор,600000,да
Азизова,Марина,жен,29,166,Казань,директор предприятия,500000,нет
Азмина,Евгения,жен,31,185,Ачинск,руководитель группы,20000,да
Азова,Евгения,жен,42,187,Калининград,руководитель группы,200000,да
Азымова,Мария,жен,48,183,Калининград,конструктор,100000,да
Аитова,Ольга,жен,41,183,Ачинск,бухгалтер,20000,нет
Айбашева,Анна,жен,58,177,Санкт-Петербург,кондитер,80000,да
Айдорова,Анастасия,жен,51,161,Рязань,учитель,900000,нет
Аймедова,Марина,жен,36,170,Рязань,ведущий инженер,30000,да
Айнатулина,Евгения,жен,58,173,Мурманск,кондитер,80000,да
Айпидинов,Максим,муж,48,169,Москва,учитель,45000,нет
Акарчева,Мария,жен,42,176,Калининград,конструктор,20000,нет
Акацков,Максим,муж,39,158,Санкт-Петербург,ведущий инженер,700000,нет
Акелькина,Дарья,жен,57,185,Санкт-Петербург,инженер,500000,нет
Акиев,Сергей,муж,57,161,Ачинск,учитель,800000,да
Акимкина,Анна,жен,40,178,Рязань,кондитер,350000,да
Акинова,Кристина,жен,59,184,Москва,конструктор,100000,нет
Акиньшена,Дарья,жен,39,155,Казань,учитель,35000,нет
Аккерманцев,Василий,муж,46,182,Уфа,конструктор,100000,нет
Аколджанова,Диана,жен,34,170,Москва,кондитер,500000,да
Акопян-тенева,Ольга,жен,29,183,Мурманск,инженер,800000,да
Акрамова,Диана,жен,54,179,Калининград,бухгалтер,60000,да
Аксенкова,Анна,жен,40,164,Ачинск,бухгалтер,45000,нет
Актаева,Кристина,жен,30,162,Уфа,конструктор,30000,нет
Акучкина,Ольга,жен,42,189,Мурманск,инженер,80000,да
Акянова,Дарья,жен,41,167,Омск,ведущий инженер,80000,нет
Аладжева,Марина,жен,38,182,Уфа,руководитель группы,60000,нет
