Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абадаева,Диана,жен,29,171,Владимир,руководитель группы,20000,да
Абакумова,Марина,жен,22,180,Казань,учитель,90000,нет
Абалмазова,Анна,жен,40,158,Рязань,учитель,250000,нет
Абаляев,Максим,муж,33,168,Рязань,кондитер,250000,да
Абарепов,Максим,муж,41,160,Калининград,конструктор,40000,да
Абашев,Василий,муж,53,176,Казань,учитель,150000,нет
Абашуев,Андрей,муж,28,176,Санкт-Петербург,ведущий инженер,80000,нет
Абдеев,Василий,муж,27,159,Ачинск,конструктор,250000,да
Абдикеева,Дарья,жен,45,177,Санкт-Петербург,директор предприятия,300000,да
Абдрашитов,Пётр,муж,24,179,Москва,директор предприятия,40000,да
Абдулбярова,Мария,жен,46,174,Калининград,инженер,300000,нет
Абдулганиев,Сергей,муж,30,159,Москва,инженер,300000,нет
Абдулнадеров,Михаил,муж,38,188,Рязань,ведущий инженер,80000,нет
Абдулхаева,Дарья,жен,43,175,Рязань,кондитер,200000,да
Абдульсиянов,Сергей,муж,49,185,Калининград,руководитель группы,50000,нет
Абдушакурова,Мария,жен,36,167,Ачинск,учитель,400000,нет
Абельхаиров,Антон,муж,41,161,Рязань,кондитер,45000,да
Абзалудинова,Евгения,жен,28,171,Санкт-Петербург,конструктор,200000,да
Абидулов,Михаил,муж,26,163,Уфа,бухгалтер,50000,да
Абилкаева,Мария,жен,56,171,Уфа,инженер,150000,нет
Аблазов,Андрей,муж,40,180,Ачинск,конструктор,80000,да
Аблецова,Марина,жен,45,186,Калининград,руководитель группы,900000,да
Абложнов,Сергей,муж,46,157,Москва,конструктор,250000,да
Абонина,Марина,жен,48,188,Москва,ведущий инженер,350000,да
Абрагамов,Антон,муж,48,176,Калининград,кондитер,700000,да
Абрезкова,Анна,жен,49,176,Уфа,учитель,400000,нет
Абришитова,Анна,жен,39,185,Санкт-Петербург,директор предприятия,35000,нет
Аброськина,Анастасия,жен,51,176,Ачинск,директор предприятия,150000,да
