Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абаджев,Михаил,муж,54,179,Уфа,учитель,400000,нет
Абаимова,Кристина,жен,39,173,Омск,ведущий инженер,700000,да
Абалымов,Василий,муж,53,176,Мурманск,учитель,400000,да
Абаньчев,Никита,муж,43,183,Уфа,ведущий инженер,30000,да
Абаскова,Марина,жен,27,182,Владимир,учитель,60000,нет
Абднев,Сергей,муж,34,179,Санкт-Петербург,инженер,300000,да
Абдряев,Александр,муж,22,180,Ачинск,кондитер,20000,да
Абдулгалимова,Марина,жен,42,158,Мурманск,руководитель группы,300000,да
Абдулкаюмов,Антон,муж,49,166,Уфа,руководитель группы,40000,да
Абдулоев,Антон,муж,52,158,Санкт-Петербург,конструктор,250000,да
Абдулхаиров,Сергей,муж,38,170,Рязань,кондитер,70000,да
Абдусаидова,Юлия,жен,40,172,Москва,учитель,500000,нет
Абдухманова,Мария,жен,58,181,Рязань,бухгалтер,45000,нет
Аберхаев,Михаил,муж,32,164,Калининград,директор предприятия,35000,нет
Абидина,Кристина,жен,57,171,Владимир,руководитель группы,60000,нет
Абидулина,Анастасия,жен,25,181,Казань,учитель,70000,да
Абишев,Максим,муж,32,167,Омск,ведущий инженер,150000,да
Аблязов,Михаил,муж,51,158,Москва,кондитер,90000,да
Абмосова,Дарья,жен,18,158,Калининград,руководитель группы,90000,нет
Аболдов,Никита,муж,58,187,Владимир,руководитель группы,60000,нет
Аборонова,Юлия,жен,34,171,Казань,бухгалтер,90000,нет
Абрагамов,Михаил,муж,36,176,Казань,бухгалтер,45000,да
Абрамцев,Михаил,муж,39,174,Санкт-Петербург,инженер,400000,да
Абрасиенков,Сергей,муж,41,178,Уфа,учитель,70000,да
Абрашитова,Диана,жен,34,175,Мурманск,учитель,70000,нет
Абросинова,Мария,жен,22,167,Ачинск,кондитер,60000,нет
Абу-самра,Дарья,жен,54,185,Калининград,конструктор,100000,нет
Абубякиров,Никита,муж,29,172,Москва,директор предприятия,100000,да
Абурахманов,Александр,муж,51,174,Ачинск,учитель,600000,да
Абышев,Максим,муж,43,177,Казань,кондитер,90000,да
Аваев,Андрей,муж,58,189,Ачинск,директор предприятия,700000,нет
Авангардов,Никита,муж,20,173,Казань,бухгалтер,800000,нет
Авачева,Юлия,жен,25,181,Уфа,директор предприятия,20000,нет
Авдуков,Никита,муж,38,182,Уфа,ведущий инженер,60000,да
Аведеева,Юлия,жен,26,159,Санкт-Петербург,бухгалтер,100000,нет
Авениров,Михаил,муж,37,159,Москва,директор предприятия,500000,нет
Аверков,Пётр,муж,34,165,Мурманск,ведущий инженер,70000,да
Аверочкина,Марина,жен,35,188,Владимир,ведущий инженер,100000,нет
Авидзба,Анна,жен,44,188,Рязань,инженер,50000,да
Ависов,Антон,муж,36,162,Санкт-Петербург,инженер,35000,да
Авлев,Максим,муж,25,187,Ачинск,конструктор,700000,нет
Авсенев,Пётр,муж,35,177,Уфа,бухгалтер,20000,да
Авфуков,Михаил,муж,36,167,Владимир,ведущий инженер,30000,да
Авчуков,Василий,муж,32,172,Мурманск,директор предприятия,60000,нет
Агайдарова,Евгения,жен,45,161,Владимир,директор предприятия,900000,нет
Агапушкина,Марина,жен,21,187,Рязань,ведущий инженер,400000,нет
Агапчев,Никита,муж,22,188,Ачинск,инженер,350000,да
Агатов,Сергей,муж,54,169,Владимир,бухгалтер,80000,нет
Агафонычева,Марина,жен,59,158,Рязань,руководитель группы,600000,нет
Агеева,Евгения,жен,33,183,Уфа,ведущий инженер,50000,да
Агитаев,Андрей,муж,50,169,Омск,директор предприятия,300000,нет
Агламазова,Кристина,жен,28,175,Ачинск,учитель,250000,нет
Агольцова,Анастасия,жен,47,166,Рязань,кондитер,45000,нет
Агроскина,Марина,жен,39,171,Рязань,руководитель группы,900000,нет
Агурина,Анастасия,жен,59,171,Уфа,учитель,50000,да
Адашова,Марина,жен,44,169,Владимир,конструктор,150000,да
Аджаев,Пётр,муж,58,157,Казань,кондитер,90000,да
Адирина,Евгения,жен,47,186,Калининград,бухгалтер,700000,да
Адмайкина,Дарья,жен,23,188,Мурманск,ведущий инженер,200000,да
Адушева,Диана,жен,27,185,Уфа,ведущий инженер,900000,нет
Азбелева,Юлия,жен,23,165,Казань,кондитер,60000,нет
Азимджанова,Ольга,жен,56,158,Москва,инженер,250000,да
Азначеев,Александр,муж,32,164,Рязань,инженер,400000,нет
Азыкова,Кристина,жен,46,188,Москва,бухгалтер,40000,да
Азянова,Мария,жен,55,178,Москва,ведущий инженер,900000,нет
Аистов,Андрей,муж,40,157,Мурманск,ведущий инженер,50000,да
Айгистов,Максим,муж,34,159,Уфа,кондитер,45000,нет
Айдашева,Юлия,жен,42,160,Уфа,конструктор,45000,да
Айдышев,Андрей,муж,32,167,Москва,руководитель группы,60000,нет
