Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абакарова,Юлия,жен,18,157,Казань,конструктор,30000,нет
Аббязова,Мария,жен,20,165,Владимир,бухгалтер,900000,да
Абдилладжанов,Андрей,муж,43,168,Омск,учитель,600000,нет
Абдугаппарова,Мария,жен,50,165,Калининград,руководитель группы,35000,да
Абдулаева,Евгения,жен,20,188,Москва,директор предприятия,20000,да
Абдулкадерова,Мария,жен,42,175,Мурманск,бухгалтер,60000,да
Абдулхабиров,Михаил,муж,20,183,Уфа,инженер,100000,да
Абдурахимова,Дарья,жен,42,156,Владимир,инженер,250000,да
Абзалова,Диана,жен,33,179,Рязань,кондитер,200000,нет
Абисалова,Юлия,жен,20,155,Казань,директор предприятия,200000,да
Абоимов,Максим,муж,38,188,Казань,инженер,800000,да
Аболымова,Ольга,жен,22,174,Москва,руководитель группы,80000,да
Абраменкова,Евгения,жен,25,170,Москва,кондитер,30000,нет
Абрамычев,Андрей,муж,35,162,Санкт-Петербург,инженер,45000,нет
Абрашеев,Антон,муж,53,165,Омск,ведущий инженер,70000,нет
Абрелова,Евгения,жен,34,169,Владимир,руководитель группы,200000,да
Абросинов,Антон,муж,33,184,Владимир,бухгалтер,50000,да
Абрядина,Диана,жен,27,187,Уфа,руководитель группы,900000,да
Абудеева,Мария,жен,59,156,Владимир,конструктор,200000,нет
Абуева,Диана,жен,40,189,Санкт-Петербург,ведущий инженер,50000,нет
Абусев,Пётр,муж,37,177,Москва,учитель,40000,нет
Абянова,Ольга,жен,58,155,Омск,учитель,50000,да
Аваев,Максим,муж,29,160,Калининград,ведущий инженер,45000,нет
Аваткова,Ольга,жен,25,188,Омск,инженер,300000,нет
Авдашкова,Диана,жен,30,179,Санкт-Петербург,кондитер,90000,да
Авдулова,Ольга,жен,18,173,Мурманск,руководитель группы,90000,нет
Авдышева,Кристина,жен,40,157,Владимир,ведущий инженер,70000,да
Аверклева,Дарья,жен,45,177,Санкт-Петербург,руководитель группы,800000,да
Авина,Ольга,жен,31,167,Уфа,руководитель группы,200000,нет
Авинов,Михаил,муж,20,183,Рязань,ведущий инженер,300000,да
Авсейчиков,Никита,муж,41,167,Мурманск,учитель,200000,да
Авсенина,Кристина,жен,26,188,Омск,бухгалтер,600000,да
Агабабов,Никита,муж,22,185,Владимир,конструктор,350000,да
Аганов,Сергей,муж,19,160,Казань,ведущий инженер,20000,да
Агаркова,Юлия,жен,46,155,Ачинск,бухгалтер,300000,да
Агасаров,Михаил,муж,34,161,Омск,кондитер,600000,да
Агаханов,Василий,муж,37,188,Мурманск,директор предприятия,350000,нет
Агашкина,Ольга,жен,45,184,Ачинск,руководитель группы,70000,нет
Агександряна,Диана,жен,48,162,Омск,директор предприятия,30000,нет
Аглямзянова,Марина,жен,43,169,Мурманск,учитель,600000,нет
