Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абаева,Юлия,жен,31,178,Казань,бухгалтер,40000,нет
Абаллазов,Никита,муж,32,159,Ачинск,ведущий инженер,500000,да
Абаротова,Ольга,жен,25,187,Ачинск,руководитель группы,300000,нет
Абачина,Анастасия,жен,21,163,Уфа,учитель,70000,нет
Абдалова,Ольга,жен,28,168,Казань,инженер,900000,нет
Абдрахманов,Александр,муж,26,169,Омск,инженер,250000,нет
Абдулгалимов,Михаил,муж,39,157,Мурманск,руководитель группы,150000,да
Абдулкаберова,Мария,жен,49,159,Омск,учитель,500000,да
Абдулхадимирова,Анна,жен,32,160,Ачинск,директор предприятия,800000,нет
Абдульманов,Антон,муж,36,167,Калининград,бухгалтер,90000,нет
Абдурахимова,Евгения,жен,35,156,Москва,кондитер,45000,да
Абейдулина,Дарья,жен,40,157,Казань,инженер,250000,да
Абидалина,Ольга,жен,30,171,Омск,конструктор,900000,да
Абликина,Евгения,жен,36,159,Мурманск,руководитель группы,800000,нет
Аблялимов,Андрей,муж,57,161,Калининград,руководитель группы,150000,да
Абмосова,Анастасия,жен,53,170,Уфа,руководитель группы,600000,да
Аболонышева,Анастасия,жен,32,167,Казань,кондитер,350000,да
Абонина,Евгения,жен,38,157,Калининград,директор предприятия,40000,нет
Абразумова,Марина,жен,24,181,Москва,бухгалтер,90000,нет
Абрдяшитов,Пётр,муж,35,165,Омск,учитель,30000,нет
Абряхимов,Сергей,муж,20,159,Казань,бухгалтер,40000,да
Абубякирова,Диана,жен,46,176,Калининград,руководитель группы,40000,нет
Абуняева,Анна,жен,53,183,Ачинск,ведущий инженер,600000,да
Абызов,Сергей,муж,51,179,Рязань,директор предприятия,25000,да
Аванова,Мария,жен,19,186,Калининград,конструктор,350000,да
Августонова,Мария,жен,21,165,Калининград,ведущий инженер,500000,да
Авдеенков,Антон,муж,50,177,Омск,директор предприятия,35000,нет
Авдотьина,Дарья,жен,43,167,Омск,конструктор,250000,да
Авдушева,Мария,жен,45,167,Санкт-Петербург,инженер,70000,нет
Аведикова,Диана,жен,18,178,Москва,кондитер,35000,нет
Авельчева,Кристина,жен,40,173,Рязань,учитель,500000,да
Аверкиев,Андрей,муж,26,175,Казань,директор предприятия,80000,да
Аверьянов,Антон,муж,19,186,Омск,директор предприятия,900000,да
Аветисов,Сергей,муж,48,180,Владимир,руководитель группы,400000,да
Авилков,Никита,муж,58,187,Уфа,ведущий инженер,30000,да
Авияева,Марина,жен,38,158,Казань,директор предприятия,250000,нет
Автарханова,Мария,жен,18,175,Санкт-Петербург,кондитер,200000,да
Агабекова,Диана,жен,39,159,Омск,руководитель группы,60000,да
Агаджаняна,Анастасия,жен,23,181,Омск,кондитер,20000,да
Аганитова,Дарья,жен,56,166,Уфа,директор предприятия,50000,нет
Агапиев,Михаил,муж,34,168,Санкт-Петербург,ведущий инженер,60000,да
Агапцева,Анна,жен,44,158,Казань,ведущий инженер,80000,нет
Агафонина,Евгения,жен,25,164,Омск,бухгалтер,300000,нет
Агаханов,Пётр,муж,43,165,Омск,ведущий инженер,900000,нет
Агеечев,Максим,муж,53,158,Владимир,конструктор,90000,нет
Агейчева,Анна,жен,53,174,Рязань,кондитер,200000,нет
Агешев,Александр,муж,43,175,Рязань,ведущий инженер,500000,да
Агкацев,Василий,муж,40,162,Казань,ведущий инженер,600000,да
Агламазова,Мария,жен,29,168,Санкт-Петербург,инженер,900000,нет
Агнаева,Кристина,жен,52,155,Омск,руководитель группы,500000,нет
Агрелова,Кристина,жен,48,175,Мурманск,конструктор,800000,нет
Агужев,Никита,муж,54,160,Уфа,учитель,600000,да
Адамов,Михаил,муж,40,171,Санкт-Петербург,инженер,200000,да
Адарчева,Дарья,жен,25,181,Уфа,бухгалтер,50000,да
Адерихина,Мария,жен,19,169,Мурманск,учитель,40000,нет
Аджигитова,Дарья,жен,19,169,Москва,учитель,30000,нет
Адибекова,Юлия,жен,21,173,Рязань,руководитель группы,25000,да
Адмиральска,Кристина,жен,25,174,Омск,учитель,900000,нет
Аев,Антон,муж,48,185,Калининград,бухгалтер,80000,да
Азаркова,Мария,жен,43,164,Омск,инженер,40000,да
Азиева,Марина,жен,58,159,Казань,инженер,45000,нет
Азров,Андрей,муж,38,177,Казань,кондитер,80000,да
Аиткужина,Анастасия,жен,35,160,Москва,бухгалтер,400000,нет
Айдова,Юлия,жен,28,186,Рязань,ведущий инженер,50000,нет
Айзетулина,Кристина,жен,27,157,Казань,руководитель группы,200000,да
Айляров,Сергей,муж,58,159,Уфа,конструктор,200000,нет
Айнуллина,Диана,жен,54,173,Мурманск,инженер,300000,да
Айтаков,Пётр,муж,18,168,Омск,кондитер,700000,нет
Айшаева,Анастасия,жен,46,162,Ачинск,руководитель группы,35000,да
Акатнов,Андрей,муж,44,161,Уфа,руководитель группы,300000,да
Акашева,Евгения,жен,27,184,Калининград,учитель,25000,да
Акиндина,Ольга,жен,29,186,Рязань,ведущий инженер,150000,нет
Акинфина,Дарья,жен,57,164,Омск,руководитель группы,900000,нет
Акмалдинов,Пётр,муж,35,168,Ачинск,руководитель группы,60000,нет
Акопян-тенева,Ольга,жен,26,186,Ачинск,директор предприятия,50000,нет
Аксаитова,Анастасия,жен,35,164,Санкт-Петербург,конструктор,20000,нет
Аксенкина,Кристина,жен,35,183,Ачинск,учитель,50000,да
Аксенцова,Кристина,жен,44,180,Санкт-Петербург,инженер,400000,да
Актемежев,Михаил,муж,40,169,Рязань,директор предприятия,30000,да
Акулькина,Евгения,жен,42,170,Омск,кондитер,20000,да
Акшенцева,Анастасия,жен,55,181,Владимир,бухгалтер,600000,нет
Алабердова,Анна,жен,27,170,Ачинск,ведущий инженер,80000,да
Аладушкина,Анастасия,жен,28,187,Мурманск,конструктор,350000,нет
Аламкина,Евгения,жен,36,174,Рязань,бухгалтер,25000,да
Алатова,Евгения,жен,23,181,Москва,учитель,200000,да
Алахвердиева,Анна,жен,55,167,Рязань,конструктор,100000,да
Алборов,Сергей,муж,44,156,Омск,конструктор,600000,да
Алвердиев,Пётр,муж,27,185,Москва,бухгалтер,25000,нет
Алдакимова,Диана,жен,40,172,Калининград,кондитер,80000,нет
Алдонина,Мария,жен,34,155,Ачинск,бухгалтер,45000,да
Алексаночкина,Анна,жен,20,158,Калининград,руководитель группы,600000,да
Алексейчикова,Ольга,жен,21,169,Казань,учитель,60000,да
Алектрова,Кристина,жен,56,160,Калининград,конструктор,25000,нет
Алембеков,Максим,муж,57,157,Омск,кондитер,40000,нет
Аленгева,Кристина,жен,24,178,Ачинск,конструктор,25000,да
Алентьев,Никита,муж,33,182,Москва,конструктор,350000,да
Алескина,Юлия,жен,24,182,Рязань,ведущий инженер,700000,да
Алеханова,Дарья,жен,31,164,Ачинск,бухгалтер,500000,нет
Алиазгарова,Диана,жен,42,179,Владимир,директор предприятия,80000,нет
Алибасова,Анастасия,жен,19,178,Уфа,директор предприятия,90000,нет
Аликанова,Кристина,жен,48,183,Омск,бухгалтер,400000,да
Алиметова,Дарья,жен,34,188,Москва,кондитер,400000,нет
Алимкина,Анна,жен,19,183,Казань,руководитель группы,80000,нет
Алипова,Кристина,жен,58,167,Рязань,директор предприятия,35000,нет
Алита,Диана,жен,45,177,Мурманск,ведущий инженер,400000,да
Алиферов,Пётр,муж,23,179,Калининград,руководитель группы,100000,нет
Алишоева,Диана,жен,23,185,Казань,руководитель группы,200000,да
Алкпарова,Евгения,жен,26,188,Санкт-Петербург,кондитер,350000,нет
Аллахвердев,Антон,муж,44,160,Уфа,кондитер,700000,да
Аллахкулиев,Александр,муж,45,156,Рязань,ведущий инженер,40000,да
Аллярова,Анастасия,жен,45,160,Уфа,директор предприятия,80000,да
Алпатьев,Александр,муж,54,160,Калининград,ведущий инженер,35000,да
Алсина,Ольга,жен,56,160,Омск,конструктор,350000,да
Алтанцев,Максим,муж,50,189,Рязань,директор предприятия,700000,да
Алтукина,Ольга,жен,22,157,Рязань,бухгалтер,25000,нет
Алтыбоева,Анна,жен,23,161,Владимир,инженер,25000,да
Алференков,Максим,муж,33,179,Казань,кондитер,30000,нет
Алфименкова,Кристина,жен,49,159,Мурманск,кондитер,700000,нет
Алхутова,Ольга,жен,42,168,Санкт-Петербург,директор предприятия,150000,да
Алырчиков,Никита,муж,57,165,Ачинск,инженер,500000,да
