Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абазава,Мария,жен,54,164,Омск,конструктор,900000,да
Абалина,Марина,жен,54,163,Мурманск,руководитель группы,250000,да
Абаплов,Максим,муж,54,180,Рязань,директор предприятия,35000,да
Абашеев,Пётр,муж,54,164,Москва,инженер,60000,да
Абашуров,Никита,муж,50,158,Омск,кондитер,90000,нет
Абдершина,Анастасия,жен,57,183,Владимир,руководитель группы,800000,нет
Абдулахитов,Максим,муж,52,177,Рязань,директор предприятия,50000,нет
Абдулкаберова,Евгения,жен,24,175,Владимир,инженер,45000,да
Абдуллянова,Дарья,жен,45,189,Владимир,конструктор,35000,нет
Абдуразакова,Анастасия,жен,54,160,Мурманск,ведущий инженер,200000,нет
Абейдулина,Кристина,жен,58,172,Уфа,учитель,200000,нет
Абекова,Мария,жен,45,177,Казань,инженер,200000,нет
Абзялова,Евгения,жен,24,168,Казань,конструктор,900000,нет
Абидуллина,Юлия,жен,42,163,Уфа,ведущий инженер,350000,да
Аблиханова,Евгения,жен,23,164,Ачинск,кондитер,30000,нет
Аболоношев,Антон,муж,39,172,Омск,учитель,900000,нет
Абольникова,Кристина,жен,27,159,Калининград,бухгалтер,350000,нет
Абрамычев,Пётр,муж,29,163,Уфа,ведущий инженер,500000,да
Абронов,Александр,муж,21,168,Рязань,директор предприятия,80000,нет
Абубскова,Кристина,жен,23,183,Омск,учитель,500000,нет
Абусев,Василий,муж,34,167,Ачинск,инженер,30000,да
Абушахманов,Андрей,муж,33,189,Санкт-Петербург,учитель,30000,да
Аваева,Диана,жен,29,175,Омск,бухгалтер,25000,нет
Аввокумов,Никита,муж,19,167,Ачинск,учитель,600000,нет
Авдакушина,Кристина,жен,33,176,Санкт-Петербург,кондитер,600000,нет
Авдеков,Никита,муж,44,161,Казань,учитель,400000,да
Авдуков,Сергей,муж,53,170,Казань,инженер,400000,да
Аверинова,Юлия,жен,45,181,Владимир,директор предприятия,25000,нет
Авескина,Ольга,жен,55,155,Калининград,бухгалтер,600000,нет
Авизова,Евгения,жен,51,161,Калининград,директор предприятия,45000,да
Аврашов,Антон,муж,59,176,Рязань,учитель,80000,нет
Аврясова,Мария,жен,45,181,Казань,ведущий инженер,30000,да
Авсянникова,Анна,жен,22,169,Омск,кондитер,35000,да
Автонов,Сергей,муж,45,172,Санкт-Петербург,инженер,70000,да
Агакишиев,Никита,муж,22,172,Рязань,учитель,60000,да
Агамогланов,Василий,муж,56,175,Владимир,руководитель группы,20000,да
Агамяка,Дарья,жен,40,164,Казань,ведущий инженер,50000,нет
Агарышев,Сергей,муж,28,162,Мурманск,ведущий инженер,900000,да
Агашкова,Ольга,жен,22,177,Омск,руководитель группы,35000,да
Агейцев,Максим,муж,26,158,Ачинск,учитель,50000,да
Агиеткова,Марина,жен,31,187,Санкт-Петербург,учитель,700000,нет
Агирбов,Антон,муж,45,181,Владимир,бухгалтер,700000,да
Агренев,Сергей,муж,27,182,Москва,директор предприятия,400000,да
Агутина,Ольга,жен,42,156,Мурманск,руководитель группы,350000,нет
Адамков,Андрей,муж,28,167,Калининград,директор предприятия,150000,да
Адасов,Никита,муж,56,164,Санкт-Петербург,учитель,20000,нет
Аджиева,Кристина,жен,51,157,Мурманск,ведущий инженер,35000,да
Адигюзалов,Василий,муж,26,180,Казань,бухгалтер,35000,нет
Адисов,Никита,муж,48,186,Москва,бухгалтер,80000,нет
Ажищева,Анна,жен,18,185,Казань,учитель,25000,да
Азаренкоа,Ольга,жен,51,169,Уфа,бухгалтер,400000,да
Азгальдов,Пётр,муж,45,158,Уфа,директор предприятия,500000,да
Азиатцев,Михаил,муж,37,157,Владимир,учитель,45000,нет
Азтямов,Андрей,муж,23,172,Владимир,кондитер,250000,да
Азяков,Никита,муж,33,186,Владимир,конструктор,90000,нет
Айбабина,Кристина,жен,53,166,Мурманск,бухгалтер,25000,нет
Айдашев,Максим,муж,26,164,Ачинск,инженер,600000,да
Айдина,Дарья,жен,51,169,Рязань,директор предприятия,50000,нет
Айляров,Максим,муж,43,178,Казань,руководитель группы,700000,нет
Айнединова,Мария,жен,22,169,Санкт-Петербург,директор предприятия,30000,нет
Айрапетова,Диана,жен,37,156,Казань,ведущий инженер,30000,да
Айшаева,Дарья,жен,58,186,Владимир,руководитель группы,300000,да
Акакиева,Ольга,жен,44,169,Санкт-Петербург,инженер,500000,нет
Акашев,Сергей,муж,18,159,Москва,кондитер,40000,нет
Акельчева,Анна,жен,39,182,Рязань,ведущий инженер,800000,нет
Акимушкина,Юлия,жен,21,186,Владимир,бухгалтер,500000,да
Акинша,Кристина,жен,40,161,Омск,учитель,600000,да
Акмаев,Максим,муж,55,175,Мурманск,ведущий инженер,100000,нет
Акованцев,Никита,муж,26,173,Уфа,конструктор,200000,да
Аколкина,Дарья,жен,57,168,Калининград,ведущий инженер,700000,да
Аксарина,Дарья,жен,29,185,Калининград,бухгалтер,500000,да
Аксенцова,Марина,жен,24,181,Мурманск,инженер,100000,да
Аксютина,Юлия,жен,20,176,Омск,инженер,700000,да
Акучкина,Дарья,жен,45,184,Санкт-Петербург,ведущий инженер,90000,нет
Акчаров,Никита,муж,33,189,Казань,бухгалтер,80000,нет
Алалетдинова,Диана,жен,49,172,Уфа,ведущий инженер,40000,нет
Алатырцева,Анна,жен,24,181,Владимир,кондитер,30000,нет
Алашинов,Василий,муж,35,155,Владимир,инженер,500000,нет
Алварьянца,Анастасия,жен,35,177,Уфа,ведущий инженер,100000,да
Алдушкина,Диана,жен,35,161,Санкт-Петербург,бухгалтер,35000,нет
Алекберов,Никита,муж,50,175,Москва,инженер,25000,да
Алексенцева,Кристина,жен,28,184,Санкт-Петербург,ведущий инженер,800000,да
Алектрова,Марина,жен,58,172,Уфа,руководитель группы,20000,нет
Алентова,Дарья,жен,37,184,Омск,руководитель группы,70000,нет
Алетдинов,Сергей,муж,54,169,Омск,ведущий инженер,40000,да
Алилуйкоа,Ольга,жен,58,168,Рязань,директор предприятия,20000,нет
Алиякбяров,Андрей,муж,31,175,Рязань,руководитель группы,40000,нет
Алкпарова,Ольга,жен,20,185,Владимир,кондитер,500000,да
Алмамедов,Пётр,муж,36,188,Рязань,бухгалтер,30000,да
Алова,Анна,жен,58,160,Владимир,руководитель группы,50000,да
Алпысбаев,Михаил,муж,44,187,Мурманск,учитель,150000,нет
Алтушина,Ольга,жен,31,156,Санкт-Петербург,конструктор,600000,нет
Алырщикова,Анна,жен,59,185,Калининград,руководитель группы,45000,нет
Альбокринова,Кристина,жен,29,176,Санкт-Петербург,руководитель группы,100000,да
Альмуков,Андрей,муж,51,157,Калининград,бухгалтер,500000,да
Альтиментов,Василий,муж,51,166,Санкт-Петербург,ведущий инженер,150000,да
Альшина,Диана,жен,58,174,Москва,конструктор,600000,нет
Аляров,Михаил,муж,25,157,Мурманск,инженер,600000,нет
Аманква,Мария,жен,38,160,Мурманск,кондитер,200000,да
Амарова,Анна,жен,33,161,Москва,инженер,70000,да
Амбросова,Ольга,жен,21,170,Санкт-Петербург,учитель,80000,да
Амелюхина,Анастасия,жен,32,159,Москва,кондитер,100000,нет
Амирагова,Юлия,жен,38,162,Рязань,учитель,25000,да
Амкаров,Пётр,муж,29,189,Мурманск,инженер,60000,нет
Ампилов,Александр,муж,55,179,Ачинск,директор предприятия,20000,да
Анаменкова,Анна,жен,45,181,Ачинск,конструктор,250000,да
Ананьин-ярцев,Александр,муж,47,184,Владимир,директор предприятия,20000,нет
Анастасина,Ольга,жен,19,163,Рязань,конструктор,45000,да
Андирзянова,Дарья,жен,25,176,Уфа,директор предприятия,500000,да
Андреечева,Евгения,жен,38,177,Санкт-Петербург,ведущий инженер,40000,нет
Андрецова,Анастасия,жен,59,177,Рязань,бухгалтер,35000,нет
Андрисов,Пётр,муж,24,173,Владимир,инженер,20000,да
Андрухова,Кристина,жен,52,156,Санкт-Петербург,кондитер,20000,да
Аненкова,Диана,жен,49,188,Омск,директор предприятия,500000,нет
Анисимцев,Сергей,муж,38,173,Москва,ведущий инженер,150000,нет
Аниськова,Диана,жен,59,167,Москва,директор предприятия,90000,нет
Анкушина,Дарья,жен,43,185,Мурманск,ведущий инженер,500000,да
Анока,Анна,жен,47,174,Ачинск,кондитер,500000,да
Анощенкова,Дарья,жен,56,173,Калининград,инженер,45000,нет
Анташова,Юлия,жен,23,157,Рязань,директор предприятия,20000,нет
Антикова,Ольга,жен,20,170,Омск,директор предприятия,600000,нет
Антисов,Василий,муж,39,186,Ачинск,конструктор,70000,да
Антомонова,Кристина,жен,26,187,Рязань,руководитель группы,40000,да
