Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абалмасова,Мария,жен,48,176,Владимир,конструктор,50000,нет
Абашина,Дарья,жен,46,162,Мурманск,директор предприятия,30000,да
Абдракипов,Василий,муж,48,177,Уфа,директор предприятия,50000,нет
Абдулберов,Андрей,муж,46,166,Владимир,учитель,900000,нет
Абдулимов,Александр,муж,34,182,Санкт-Петербург,инженер,250000,нет
Абдулмянов,Никита,муж,49,168,Казань,бухгалтер,500000,да
Абдумейнова,Диана,жен,49,179,Ачинск,учитель,800000,нет
Абельхапров,Александр,муж,39,174,Санкт-Петербург,директор предприятия,500000,нет
Абзальдинова,Дарья,жен,59,183,Санкт-Петербург,ведущий инженер,60000,да
Абилкаева,Юлия,жен,30,163,Уфа,директор предприятия,500000,да
Аблезнева,Дарья,жен,30,168,Ачинск,кондитер,600000,нет
Абляев,Василий,муж,20,162,Ачинск,конструктор,350000,да
Аболмасова,Мария,жен,51,164,Санкт-Петербург,конструктор,40000,да
Аборонов,Михаил,муж,47,176,Владимир,руководитель группы,300000,да
Абрадушкина,Евгения,жен,33,183,Уфа,директор предприятия,700000,да
Абрамова-бубенкова,Кристина,жен,37,178,Рязань,ведущий инженер,150000,нет
Абратанова,Мария,жен,51,158,Ачинск,директор предприятия,600000,да
Абросименкова,Диана,жен,30,159,Калининград,учитель,90000,нет
Абряндина,Дарья,жен,22,163,Уфа,учитель,60000,да
Абузярова,Юлия,жен,23,185,Мурманск,учитель,40000,нет
Абутев,Антон,муж,50,158,Омск,руководитель группы,350000,нет
Абызгильдина,Анна,жен,20,163,Мурманск,бухгалтер,40000,да
Аванесова,Дарья,жен,48,181,Мурманск,кондитер,30000,да
Авденина,Кристина,жен,42,157,Калининград,кондитер,900000,да
Авдюничев,Александр,муж,20,169,Казань,кондитер,35000,нет
Аверькова,Марина,жен,43,188,Владимир,кондитер,100000,да
Авечкина,Ольга,жен,26,159,Санкт-Петербург,конструктор,70000,да
Авзурагова,Диана,жен,24,161,Санкт-Петербург,ведущий инженер,800000,да
Авксентьева,Диана,жен,30,181,Владимир,учитель,40000,нет
Авсейчикова,Мария,жен,51,158,Калининград,конструктор,350000,нет
Автандилов,Александр,муж,29,180,Санкт-Петербург,конструктор,900000,нет
Авхачева,Анна,жен,39,164,Мурманск,инженер,200000,да
Авхуков,Андрей,муж,56,180,Москва,директор предприятия,250000,нет
Агавеляна,Анастасия,жен,33,175,Ачинск,инженер,70000,нет
Агаков,Василий,муж,20,163,Казань,директор предприятия,90000,нет
Агапитов,Василий,муж,34,171,Москва,директор предприятия,50000,нет
Агапочева,Юлия,жен,34,155,Уфа,конструктор,50000,нет
Агафилушкина,Кристина,жен,39,182,Рязань,директор предприятия,35000,нет
Агафлонова,Анна,жен,24,156,Москва,инженер,600000,нет
Аглулина,Евгения,жен,50,164,Рязань,директор предприятия,80000,да
Агнева,Дарья,жен,21,180,Рязань,руководитель группы,45000,нет
Аграфонов,Александр,муж,51,183,Казань,конструктор,80000,нет
Агреста,Кристина,жен,46,170,Рязань,конструктор,30000,нет
Адамантов,Максим,муж,18,177,Москва,учитель,50000,нет
Адамушкина,Юлия,жен,34,155,Омск,инженер,350000,нет
Адачева,Мария,жен,54,177,Казань,руководитель группы,70000,да
Адзитарова,Анна,жен,29,160,Казань,ведущий инженер,250000,нет
Адина,Анна,жен,24,182,Омск,руководитель группы,600000,да
Адмиралов,Сергей,муж,21,156,Казань,руководитель группы,200000,нет
Адоньева,Кристина,жен,43,161,Омск,кондитер,900000,нет
Ажаев,Максим,муж,59,166,Рязань,бухгалтер,900000,да
Азанцева,Анна,жен,32,184,Калининград,руководитель группы,50000,да
Аземша,Анастасия,жен,42,185,Казань,директор предприятия,60000,да
Азисова,Ольга,жен,39,167,Казань,бухгалтер,600000,да
Азовскова,Дарья,жен,50,161,Москва,ведущий инженер,800000,нет
Азопков,Никита,муж,31,158,Мурманск,ведущий инженер,200000,да
Азюков,Сергей,муж,33,188,Рязань,руководитель группы,200000,да
Айбашева,Евгения,жен,58,171,Омск,инженер,40000,да
Айгенина,Евгения,жен,43,178,Мурманск,учитель,350000,нет
Айдорова,Дарья,жен,36,158,Рязань,кондитер,35000,да
Айматлатдипова,Дарья,жен,30,160,Москва,конструктор,60000,нет
