Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абадулина,Анна,жен,31,187,Уфа,инженер,400000,нет
Абакаева,Анна,жен,55,160,Казань,руководитель группы,700000,да
Абалакова,Ольга,жен,28,188,Омск,руководитель группы,800000,да
Абарисов,Василий,муж,52,176,Санкт-Петербург,руководитель группы,30000,да
Абашкина-логинова,Дарья,жен,32,158,Казань,директор предприятия,35000,да
Абгарова,Евгения,жен,24,172,Владимир,инженер,90000,нет
Абдинова,Анастасия,жен,31,185,Мурманск,конструктор,20000,нет
Абдрязякова,Анастасия,жен,43,157,Санкт-Петербург,руководитель группы,60000,да
Абдулвелиева,Дарья,жен,38,185,Казань,инженер,150000,нет
Абдулдианов,Михаил,муж,45,186,Владимир,кондитер,400000,да
Абдулсалямова,Кристина,жен,33,173,Казань,кондитер,250000,да
Абдурагимова,Ольга,жен,41,176,Владимир,бухгалтер,40000,нет
Абдушагитов,Андрей,муж,21,189,Казань,инженер,700000,нет
Абеленцев,Максим,муж,26,167,Уфа,руководитель группы,700000,нет
Абзалтдинов,Александр,муж,51,165,Уфа,кондитер,200000,нет
Абидходжаева,Анастасия,жен,50,159,Москва,директор предприятия,80000,да
Аблезина,Марина,жен,20,173,Уфа,бухгалтер,350000,да
Абляев,Андрей,муж,36,175,Калининград,учитель,200000,да
Абмосова,Диана,жен,22,189,Уфа,директор предприятия,200000,нет
Аболемова,Марина,жен,24,166,Санкт-Петербург,руководитель группы,900000,да
Аборкина,Дарья,жен,43,171,Уфа,ведущий инженер,150000,да
Абраимова,Марина,жен,32,172,Казань,инженер,70000,нет
Абрамкина,Юлия,жен,47,182,Ачинск,бухгалтер,35000,нет
Абрамушкина,Кристина,жен,51,179,Казань,инженер,700000,нет
Абсалямова,Кристина,жен,59,179,Рязань,кондитер,30000,да
Абугова,Юлия,жен,42,170,Казань,инженер,400000,нет
Абумов,Михаил,муж,22,171,Рязань,учитель,20000,нет
Абысова,Марина,жен,39,161,Владимир,конструктор,100000,нет
Аваева,Юлия,жен,26,172,Казань,учитель,400000,да
Аванькина,Евгения,жен,26,158,Омск,директор предприятия,900000,нет
Авдюшенкова,Юлия,жен,46,164,Москва,бухгалтер,200000,нет
Авдяков,Никита,муж,55,162,Санкт-Петербург,кондитер,350000,нет
Аверклева,Мария,жен,39,175,Омск,кондитер,25000,да
Авзурагова,Марина,жен,21,167,Москва,инженер,45000,да
Аврамков,Сергей,муж,50,156,Санкт-Петербург,конструктор,90000,нет
Авренова,Кристина,жен,41,175,Москва,руководитель группы,80000,да
Австриякова,Юлия,жен,28,167,Калининград,конструктор,900000,нет
Автоманова,Юлия,жен,19,167,Владимир,ведущий инженер,45000,да
Авцынова,Юлия,жен,48,180,Москва,инженер,900000,нет
Агабабов,Сергей,муж,46,171,Владимир,руководитель группы,35000,да
Агальцева,Евгения,жен,36,181,Владимир,учитель,400000,да
Агамичев,Михаил,муж,47,179,Ачинск,конструктор,45000,да
Аганцева,Евгения,жен,56,183,Владимир,руководитель группы,900000,нет
Агафанчука,Анна,жен,57,184,Владимир,конструктор,150000,нет
Агафошена,Дарья,жен,41,168,Омск,руководитель группы,20000,нет
Агейцева,Евгения,жен,38,174,Владимир,ведущий инженер,700000,нет
Агибина,Дарья,жен,41,166,Уфа,учитель,90000,да
Аглуллина,Марина,жен,39,170,Калининград,руководитель группы,700000,нет
Агриева,Юлия,жен,57,162,Казань,ведущий инженер,40000,нет
Агрошкова,Диана,жен,32,184,Москва,ведущий инженер,30000,нет
Агулов,Василий,муж,51,168,Казань,руководитель группы,20000,да
Агянцов,Сергей,муж,26,184,Омск,кондитер,90000,да
Адашева,Евгения,жен,32,179,Калининград,бухгалтер,400000,нет
Адзитарова,Мария,жен,56,182,Мурманск,бухгалтер,250000,нет
Адов,Сергей,муж,36,180,Омск,учитель,200000,нет
Адрова,Марина,жен,27,188,Санкт-Петербург,кондитер,200000,да
Аедреева,Мария,жен,53,175,Владимир,ведущий инженер,20000,нет
Ажибоков,Андрей,муж,34,172,Омск,руководитель группы,400000,нет
Ажовков,Андрей,муж,41,167,Москва,бухгалтер,90000,нет
Азеренкоа,Мария,жен,57,182,Уфа,учитель,400000,нет
Азимов,Пётр,муж,18,155,Владимир,директор предприятия,700000,нет
Азмайлов,Никита,муж,41,184,Санкт-Петербург,кондитер,400000,нет
Азтямов,Максим,муж,46,176,Мурманск,бухгалтер,900000,да
Аималетдинова,Юлия,жен,25,184,Омск,руководитель группы,20000,нет
Айвазова,Анастасия,жен,55,189,Москва,руководитель группы,70000,нет
Айгнина,Кристина,жен,35,163,Ачинск,конструктор,700000,нет
Айдерханова,Диана,жен,49,169,Мурманск,конструктор,700000,нет
