Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абаликова,Ольга,жен,41,164,Калининград,учитель,35000,да
Абаринов,Сергей,муж,45,160,Калининград,кондитер,35000,да
Абачина,Юлия,жен,37,173,Ачинск,кондитер,250000,да
Аббясов,Михаил,муж,52,179,Уфа,руководитель группы,20000,нет
Абдрахманов,Сергей,муж,23,160,Ачинск,кондитер,40000,да
Абдул-галиева,Юлия,жен,56,165,Санкт-Петербург,инженер,150000,да
Абдулвалеева,Юлия,жен,49,181,Калининград,кондитер,900000,нет
Абдулкодыров,Александр,муж,33,170,Казань,бухгалтер,25000,нет
Абдулхадиров,Андрей,муж,52,184,Санкт-Петербург,ведущий инженер,20000,нет
Абдупатахов,Никита,муж,38,162,Калининград,инженер,25000,да
Абдусаматов,Пётр,муж,52,182,Омск,конструктор,90000,нет
Аберкова,Кристина,жен,21,161,Уфа,конструктор,50000,да
Абигаев,Василий,муж,24,156,Москва,учитель,35000,да
Аблабердыева,Евгения,жен,31,172,Москва,директор предприятия,25000,да
Аблезова,Дарья,жен,46,163,Рязань,руководитель группы,50000,нет
Абмакина,Анастасия,жен,55,156,Москва,бухгалтер,20000,да
Аболеев,Антон,муж,30,174,Уфа,кондитер,40000,да
Абраськина,Мария,жен,55,185,Санкт-Петербург,ведущий инженер,70000,да
Абрезков,Сергей,муж,30,155,Москва,директор предприятия,900000,нет
Абронова,Ольга,жен,54,182,Омск,учитель,500000,да
Абсоликова,Кристина,жен,36,158,Омск,кондитер,80000,нет
Абудеева,Диана,жен,36,170,Мурманск,конструктор,200000,да
Абулханов,Никита,муж,24,183,Уфа,руководитель группы,70000,нет
Абуэль-нага,Анастасия,жен,37,186,Калининград,учитель,40000,нет
Авалимов,Никита,муж,31,157,Казань,учитель,70000,нет
Аваргина,Евгения,жен,49,164,Казань,конструктор,20000,нет
Августов,Александр,муж,36,158,Уфа,конструктор,500000,да
Авдокушина,Диана,жен,34,155,Мурманск,конструктор,700000,да
Авдулов,Андрей,муж,22,179,Калининград,кондитер,50000,да
Авдюшенкова,Кристина,жен,39,160,Ачинск,директор предприятия,800000,нет
Аверичев,Антон,муж,45,189,Уфа,кондитер,100000,да
Аверхов,Антон,муж,35,179,Москва,бухгалтер,70000,да
Авлахов,Максим,муж,25,157,Казань,руководитель группы,40000,да
Авраамов,Александр,муж,58,184,Казань,учитель,35000,да
Авров,Андрей,муж,24,159,Москва,ведущий инженер,800000,нет
Авсютина,Кристина,жен,52,186,Москва,ведущий инженер,800000,нет
Автономова,Марина,жен,36,181,Ачинск,инженер,300000,да
Авчинников,Пётр,муж,55,175,Казань,директор предприятия,100000,нет
Агаджанов,Никита,муж,25,161,Мурманск,инженер,800000,нет
Агамогланов,Максим,муж,23,159,Омск,директор предприятия,800000,нет
Агапчикова,Евгения,жен,52,159,Владимир,ведущий инженер,60000,да
Агафина,Юлия,жен,20,156,Мурманск,руководитель группы,45000,нет
Агеечев,Сергей,муж,52,185,Владимир,директор предприятия,35000,нет
Агещев,Сергей,муж,45,158,Омск,учитель,250000,нет
Агирбова,Анастасия,жен,54,183,Омск,инженер,200000,да
Агнева,Евгения,жен,35,180,Мурманск,учитель,30000,нет
Агорева,Анна,жен,20,167,Владимир,ведущий инженер,60000,нет
Агранова,Кристина,жен,23,180,Санкт-Петербург,ведущий инженер,250000,да
Агрютенкова,Юлия,жен,52,167,Уфа,учитель,80000,да
Адаманов,Александр,муж,42,158,Мурманск,руководитель группы,60000,нет
Адегова,Анна,жен,27,177,Санкт-Петербург,учитель,25000,нет
Адианов,Никита,муж,46,167,Казань,руководитель группы,25000,да
Адоевска,Анастасия,жен,23,164,Омск,руководитель группы,500000,нет
Адуйсков,Максим,муж,36,179,Ачинск,директор предприятия,80000,нет
Ажаева,Юлия,жен,18,178,Санкт-Петербург,руководитель группы,30000,да
Ажгибицева,Анна,жен,54,159,Казань,кондитер,500000,да
