Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абаменков,Максим,муж,32,163,Омск,бухгалтер,800000,нет
Абаренова,Юлия,жен,51,184,Москва,учитель,200000,нет
Абдрахимов,Александр,муж,59,165,Москва,учитель,90000,да
Абдулазизов,Сергей,муж,36,180,Ачинск,руководитель группы,35000,нет
Абдулкадиров,Михаил,муж,48,162,Казань,учитель,35000,да
Абдуллина,Мария,жен,58,164,Рязань,ведущий инженер,50000,нет
Абдульсиянов,Никита,муж,39,165,Москва,конструктор,200000,да
Абдуханов,Александр,муж,23,162,Владимир,бухгалтер,150000,нет
Абзалетдинов,Максим,муж,20,169,Ачинск,бухгалтер,45000,нет
Абидулова,Мария,жен,49,175,Мурманск,директор предприятия,250000,да
Абина,Марина,жен,50,176,Калининград,конструктор,600000,нет
Аблеханов,Василий,муж,56,178,Казань,конструктор,45000,да
Аблякимов,Александр,муж,53,183,Уфа,учитель,100000,да
Аборнева,Мария,жен,48,179,Ачинск,бухгалтер,70000,нет
Абразякова,Мария,жен,30,182,Санкт-Петербург,руководитель группы,80000,нет
Абраменкова,Дарья,жен,42,172,Мурманск,бухгалтер,20000,нет
Абрамчикова,Мария,жен,53,176,Санкт-Петербург,конструктор,90000,нет
Абришитова,Юлия,жен,27,170,Москва,конструктор,800000,нет
Абросина,Диана,жен,48,181,Санкт-Петербург,руководитель группы,600000,нет
Абрядина,Диана,жен,38,180,Мурманск,учитель,900000,да
Абубекирова,Диана,жен,27,188,Рязань,учитель,60000,нет
Абузяров,Андрей,муж,43,181,Москва,ведущий инженер,35000,да
Абучев,Антон,муж,27,168,Ачинск,инженер,150000,да
Авалимов,Александр,муж,25,160,Санкт-Петербург,бухгалтер,50000,нет
Аванинов,Василий,муж,42,175,Омск,учитель,500000,нет
Авдееева,Ольга,жен,27,163,Омск,учитель,45000,нет
Авдонова,Мария,жен,44,179,Рязань,конструктор,50000,нет
Авельченкова,Евгения,жен,31,188,Владимир,ведущий инженер,800000,нет
Аверьева,Евгения,жен,19,189,Санкт-Петербург,ведущий инженер,400000,да
Аврачев,Александр,муж,47,174,Уфа,учитель,45000,нет
Авсарагов,Василий,муж,59,160,Уфа,конструктор,250000,да
Авсюшина,Кристина,жен,23,169,Ачинск,директор предприятия,100000,да
Авфуков,Пётр,муж,21,177,Казань,директор предприятия,500000,да
Авчуков,Никита,муж,47,188,Санкт-Петербург,инженер,700000,да
Авясова,Анна,жен,31,166,Казань,руководитель группы,400000,да
Агамяка,Кристина,жен,32,183,Мурманск,кондитер,50000,да
Агапова-колпахчева,Дарья,жен,47,158,Омск,конструктор,90000,нет
Агауров,Максим,муж,25,180,Рязань,директор предприятия,60000,да
Агашина,Мария,жен,58,187,Калининград,ведущий инженер,30000,да
Агеев,Александр,муж,21,156,Владимир,руководитель группы,300000,нет
Агешкина,Евгения,жен,18,175,Мурманск,ведущий инженер,150000,нет
Агиткова,Марина,жен,23,177,Ачинск,конструктор,25000,да
Агольцов,Пётр,муж,56,159,Уфа,ведущий инженер,700000,да
Агранова,Кристина,жен,31,178,Санкт-Петербург,учитель,30000,да
Аграчев,Антон,муж,18,169,Владимир,конструктор,300000,да
Агышов,Антон,муж,50,180,Москва,учитель,350000,да
Адамцева,Диана,жен,26,171,Санкт-Петербург,инженер,900000,да
Адиатулина,Кристина,жен,21,174,Омск,кондитер,35000,нет
Адиева,Юлия,жен,59,183,Ачинск,директор предприятия,150000,да
