Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абаев,Василий,муж,51,178,Ачинск,директор предприятия,900000,нет
Абазьева,Евгения,жен,50,158,Санкт-Петербург,руководитель группы,500000,да
Абалихина,Юлия,жен,50,181,Омск,инженер,60000,нет
Абаньчев,Никита,муж,56,183,Калининград,руководитель группы,45000,да
Абатуров,Михаил,муж,35,179,Казань,конструктор,70000,да
Абашеев,Максим,муж,26,185,Рязань,инженер,400000,да
Абдрязякова,Анна,жен,21,189,Омск,инженер,70000,нет
Абдулванеев,Василий,муж,44,165,Уфа,кондитер,50000,нет
Абдулкакова,Кристина,жен,22,186,Ачинск,инженер,500000,нет
Абдулова,Анна,жен,20,178,Санкт-Петербург,кондитер,35000,да
Абдурахимов,Сергей,муж,57,187,Владимир,инженер,300000,нет
Абдусамадов,Антон,муж,34,157,Уфа,ведущий инженер,700000,да
Абдюханова,Ольга,жен,26,171,Калининград,руководитель группы,20000,да
Абзалетдинова,Ольга,жен,20,186,Омск,конструктор,40000,нет
Абидалина,Кристина,жен,58,165,Уфа,учитель,70000,да
Аблихаров,Андрей,муж,26,176,Калининград,учитель,80000,нет
Абоамова,Анна,жен,43,176,Москва,бухгалтер,90000,да
Аболяева,Анна,жен,47,166,Уфа,бухгалтер,30000,да
Абраева,Дарья,жен,50,161,Рязань,бухгалтер,200000,да
Абрамычева,Дарья,жен,51,161,Мурманск,инженер,40000,да
Абрахманова,Диана,жен,57,181,Казань,руководитель группы,20000,нет
Абрезяков,Никита,муж,53,155,Мурманск,директор предприятия,150000,нет
Аброскина,Кристина,жен,53,168,Санкт-Петербург,директор предприятия,300000,нет
Абубекерова,Диана,жен,52,184,Владимир,руководитель группы,800000,да
Абульхайрова,Мария,жен,39,180,Уфа,кондитер,350000,нет
Абышева,Дарья,жен,52,166,Рязань,бухгалтер,100000,нет
Авдонова,Диана,жен,45,182,Казань,директор предприятия,100000,да
Авдошина,Кристина,жен,41,178,Владимир,директор предприятия,45000,да
Авербуха,Дарья,жен,29,188,Омск,директор предприятия,50000,нет
Аверичев,Андрей,муж,46,189,Казань,руководитель группы,30000,нет
Аветисов,Андрей,муж,57,166,Санкт-Петербург,инженер,80000,нет
Авилочев,Никита,муж,53,157,Санкт-Петербург,бухгалтер,35000,нет
Авлакова,Ольга,жен,37,172,Москва,руководитель группы,900000,нет
Авраамова,Анастасия,жен,42,168,Ачинск,учитель,70000,да
Авсатова,Ольга,жен,43,184,Калининград,учитель,600000,нет
Автократова,Марина,жен,29,170,Мурманск,директор предприятия,300000,нет
Авхадеева,Диана,жен,31,177,Санкт-Петербург,бухгалтер,150000,нет
Авцина,Мария,жен,19,188,Ачинск,кондитер,70000,да
Агабекова,Юлия,жен,25,174,Ачинск,ведущий инженер,500000,нет
Агаларова,Марина,жен,32,162,Москва,учитель,20000,нет
Аганцева,Марина,жен,18,161,Калининград,конструктор,300000,да
Агарова,Анна,жен,40,161,Владимир,ведущий инженер,25000,да
Агатеева,Юлия,жен,49,182,Ачинск,учитель,90000,нет
Агафошена,Марина,жен,25,170,Калининград,конструктор,25000,да
Агейкова,Диана,жен,32,168,Москва,директор предприятия,35000,да
Аглиулина,Дарья,жен,24,175,Мурманск,кондитер,200000,нет
Аграфенов,Пётр,муж,34,166,Ачинск,ведущий инженер,50000,нет
Адамчевска,Марина,жен,45,156,Мурманск,кондитер,600000,да
Адианов,Пётр,муж,29,164,Омск,бухгалтер,500000,да
Адитярова,Марина,жен,26,163,Мурманск,директор предприятия,35000,нет
Адмайкина,Юлия,жен,27,181,Владимир,ведущий инженер,90000,нет
Адоевцев,Сергей,муж,43,167,Казань,бухгалтер,500000,нет
Адрющенков,Василий,муж,52,186,Рязань,кондитер,35000,да
Аерова,Мария,жен,38,180,Ачинск,ведущий инженер,200000,нет
Ажина,Юлия,жен,18,177,Калининград,учитель,30000,да
Азанчеев,Михаил,муж,47,158,Ачинск,руководитель группы,60000,нет
Азарцев,Максим,муж,28,170,Санкт-Петербург,директор предприятия,40000,да
Азгальдов,Пётр,муж,59,170,Казань,кондитер,800000,нет
Азобков,Михаил,муж,51,165,Казань,бухгалтер,250000,нет
Азопков,Пётр,муж,54,163,Рязань,конструктор,200000,нет
