Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абабилова,Кристина,жен,25,185,Москва,директор предприятия,150000,да
Абалока,Анастасия,жен,36,179,Мурманск,инженер,70000,да
Абарыков,Антон,муж,52,167,Калининград,учитель,50000,нет
Абахов,Василий,муж,24,166,Ачинск,инженер,100000,нет
Аббубякиров,Пётр,муж,37,185,Москва,учитель,100000,нет
Аббясов,Василий,муж,19,161,Санкт-Петербург,руководитель группы,250000,нет
Абдивахидова,Анна,жен,53,157,Мурманск,директор предприятия,500000,нет
Абдуев,Михаил,муж,20,186,Москва,учитель,150000,нет
Абдулвагапов,Пётр,муж,35,161,Уфа,учитель,35000,нет
Абдулгасанов,Максим,муж,44,184,Москва,руководитель группы,250000,да
Абдулмянов,Сергей,муж,55,159,Москва,учитель,150000,нет
Абдулхадиров,Александр,муж,52,176,Москва,бухгалтер,300000,да
Абдуназаров,Андрей,муж,19,161,Уфа,конструктор,500000,да
Абдусаматов,Александр,муж,18,169,Владимир,ведущий инженер,45000,нет
Абейдулина,Дарья,жен,52,156,Рязань,директор предприятия,900000,да
Абзалтдинова,Юлия,жен,56,162,Санкт-Петербург,учитель,300000,да
Абинякова,Юлия,жен,25,158,Рязань,ведущий инженер,25000,да
Абкина-лазарева,Марина,жен,50,188,Владимир,учитель,70000,да
Аблихаров,Сергей,муж,28,186,Санкт-Петербург,бухгалтер,40000,нет
Аболдов,Пётр,муж,19,189,Ачинск,руководитель группы,90000,да
Аболонышев,Никита,муж,32,164,Рязань,директор предприятия,250000,да
Аболяев,Максим,муж,37,169,Калининград,кондитер,500000,нет
Абражеев,Сергей,муж,44,182,Омск,ведущий инженер,100000,да
Абрамунина,Евгения,жен,54,185,Санкт-Петербург,руководитель группы,400000,нет
Абрамченкова,Диана,жен,54,186,Москва,инженер,20000,нет
Абрасулина,Кристина,жен,19,159,Уфа,инженер,25000,да
Абросенкова,Марина,жен,45,189,Калининград,ведущий инженер,30000,нет
Абрывалина,Анастасия,жен,41,162,Уфа,руководитель группы,20000,да
Абряхимова,Евгения,жен,58,185,Санкт-Петербург,инженер,45000,да
Абубакирова,Ольга,жен,39,179,Рязань,руководитель группы,80000,нет
Абузарова,Диана,жен,53,166,Владимир,учитель,250000,да
Абульханова,Ольга,жен,40,162,Владимир,учитель,500000,нет
Абушев,Михаил,муж,28,163,Калининград,конструктор,700000,да
Авалов,Антон,муж,56,169,Калининград,кондитер,30000,да
Авдоничева,Дарья,жен,30,185,Москва,инженер,50000,да
Авдуселлимов,Василий,муж,27,155,Санкт-Петербург,бухгалтер,100000,да
Авдюшева,Кристина,жен,44,178,Омск,бухгалтер,45000,да
Авельчука,Ольга,жен,44,158,Рязань,инженер,400000,да
Аверушкина,Кристина,жен,39,171,Калининград,учитель,800000,да
Аверьева,Ольга,жен,57,166,Рязань,конструктор,35000,да
Авзурагов,Михаил,муж,45,188,Рязань,инженер,500000,да
Авралев,Максим,муж,20,155,Ачинск,конструктор,350000,нет
Аврелькина,Юлия,жен,48,156,Уфа,конструктор,400000,да
Авсеева,Анастасия,жен,46,187,Калининград,учитель,25000,да
Авцинов,Антон,муж,22,178,Москва,кондитер,350000,нет
Авшаров,Пётр,муж,47,177,Москва,учитель,300000,да
Агалаков,Андрей,муж,54,185,Мурманск,инженер,30000,нет
Агамалиева,Диана,жен,37,179,Казань,инженер,35000,нет
Агапина,Анна,жен,38,162,Санкт-Петербург,ведущий инженер,40000,да
Агапонова,Дарья,жен,41,186,Уфа,конструктор,500000,да
Агарева,Юлия,жен,58,170,Омск,учитель,40000,нет
Агауров,Василий,муж,24,157,Калининград,бухгалтер,200000,да
Агафонина,Евгения,жен,32,179,Казань,руководитель группы,60000,да
Агейчиков,Андрей,муж,33,189,Калининград,инженер,400000,нет
Агибабов,Пётр,муж,42,188,Казань,руководитель группы,40000,да
Агищев,Максим,муж,46,166,Казань,бухгалтер,350000,нет
Агнева,Юлия,жен,22,169,Ачинск,директор предприятия,35000,нет
Агранатова,Юлия,жен,44,167,Санкт-Петербург,ведущий инженер,700000,да
Агренев,Пётр,муж,19,185,Санкт-Петербург,кондитер,30000,да
Адалева,Кристина,жен,56,171,Калининград,кондитер,25000,нет
Адарачев,Сергей,муж,48,170,Казань,конструктор,700000,нет
Адвахова,Мария,жен,29,155,Омск,ведущий инженер,70000,нет
Аджарова,Мария,жен,31,183,Мурманск,директор предприятия,400000,да
Адисова,Дарья,жен,36,189,Рязань,инженер,25000,да
Адольфов,Антон,муж,23,170,Рязань,инженер,100000,нет
Адонисов,Михаил,муж,18,160,Омск,директор предприятия,400000,нет
Ажгиреева,Юлия,жен,56,175,Владимир,конструктор,80000,да
Ажина,Юлия,жен,57,161,Санкт-Петербург,инженер,700000,да
Азадова,Ольга,жен,50,158,Уфа,ведущий инженер,250000,да
Азаренов,Александр,муж,44,173,Рязань,ведущий инженер,400000,нет
