Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Аб-ганеева,Мария,жен,25,180,Калининград,инженер,60000,да
Абалаков,Василий,муж,42,178,Ачинск,конструктор,500000,нет
Абанкина,Кристина,жен,46,183,Калининград,инженер,90000,да
Абаренков,Михаил,муж,23,186,Ачинск,директор предприятия,250000,нет
Аббазова,Мария,жен,18,158,Владимир,ведущий инженер,300000,нет
Абгаров,Пётр,муж,53,167,Омск,учитель,800000,да
Абдразяков,Андрей,муж,30,161,Рязань,бухгалтер,200000,да
Абдуалиева,Анастасия,жен,33,189,Казань,руководитель группы,20000,да
Абдулванеев,Никита,муж,35,178,Рязань,бухгалтер,700000,нет
Абдуллагаджиева,Анна,жен,20,178,Ачинск,директор предприятия,35000,нет
Абдулоджанова,Дарья,жен,27,168,Санкт-Петербург,бухгалтер,35000,да
Абдуршина,Анна,жен,38,185,Санкт-Петербург,бухгалтер,350000,нет
Абеленцев,Василий,муж,18,173,Санкт-Петербург,учитель,250000,нет
Абидалина,Ольга,жен,23,181,Ачинск,конструктор,200000,нет
Абизов,Сергей,муж,35,188,Рязань,руководитель группы,35000,да
Аблабердыева,Мария,жен,25,180,Рязань,конструктор,800000,да
Абличенкова,Евгения,жен,34,159,Москва,кондитер,80000,нет
Аболакина,Анна,жен,43,175,Ачинск,директор предприятия,150000,нет
Аболихина,Ольга,жен,54,182,Казань,конструктор,300000,да
Абраменкова,Евгения,жен,44,186,Рязань,инженер,50000,нет
Абрамова-извекова,Мария,жен,59,177,Москва,учитель,150000,нет
Абратанов,Пётр,муж,37,186,Уфа,руководитель группы,700000,нет
Абрашкова,Ольга,жен,30,162,Калининград,кондитер,700000,да
Абросинова,Диана,жен,39,161,Рязань,учитель,150000,да
Абрярова,Мария,жен,41,173,Казань,учитель,600000,да
Абсалямов,Антон,муж,22,168,Рязань,ведущий инженер,20000,нет
Абусалимов,Максим,муж,38,167,Казань,директор предприятия,600000,нет
Абухова,Дарья,жен,38,173,Казань,ведущий инженер,30000,нет
Абызов,Сергей,муж,21,176,Владимир,директор предприятия,500000,нет
Авалова,Дарья,жен,24,181,Москва,учитель,350000,нет
Авачев,Василий,муж,24,166,Уфа,учитель,25000,да
Авдашкова,Анна,жен,39,161,Владимир,директор предприятия,350000,нет
Аверичева,Анастасия,жен,36,177,Владимир,учитель,90000,да
Авзаметдинов,Максим,муж,33,178,Калининград,инженер,30000,нет
Авина,Анастасия,жен,30,171,Ачинск,директор предприятия,50000,нет
Авсиевича,Кристина,жен,32,172,Омск,бухгалтер,100000,нет
Автухова,Диана,жен,53,187,Калининград,кондитер,25000,нет
Авхадеева,Дарья,жен,33,171,Санкт-Петербург,директор предприятия,200000,да
Авчинникова,Мария,жен,31,166,Омск,бухгалтер,250000,да
Агамалиев,Василий,муж,48,177,Ачинск,ведущий инженер,60000,да
Агапкина,Диана,жен,39,157,Уфа,руководитель группы,100000,нет
Агарунов,Василий,муж,57,172,Казань,ведущий инженер,350000,нет
Агафьина,Дарья,жен,58,169,Казань,кондитер,600000,да
Агашичева,Анастасия,жен,30,177,Омск,кондитер,350000,да
Агейчиков,Александр,муж,46,178,Рязань,ведущий инженер,80000,нет
Агеусова,Анастасия,жен,38,184,Ачинск,бухгалтер,300000,нет
Агишева,Анна,жен,25,187,Санкт-Петербург,кондитер,500000,да
Агольцев,Александр,муж,41,171,Владимир,учитель,900000,нет
Агрискоа,Юлия,жен,53,177,Уфа,инженер,500000,нет
Адасов,Василий,муж,31,162,Рязань,бухгалтер,700000,да
Аджимамедов,Максим,муж,30,184,Казань,инженер,80000,нет
Адинагуева,Юлия,жен,18,161,Калининград,учитель,200000,нет
Аднатуллина,Марина,жен,51,175,Санкт-Петербург,директор предприятия,250000,да
Адушкаева,Юлия,жен,59,168,Москва,руководитель группы,45000,да
Ажаликов,Сергей,муж,20,163,Калининград,руководитель группы,80000,нет
Ажипа,Анна,жен,49,179,Казань,конструктор,100000,да
Азимков,Максим,муж,32,167,Владимир,кондитер,350000,да
Азранкина,Ольга,жен,43,168,Москва,конструктор,350000,да
Аитов,Сергей,муж,21,173,Омск,кондитер,800000,да
Айлькова,Мария,жен,32,163,Мурманск,ведущий инженер,800000,да
Аймаутова,Кристина,жен,36,188,Уфа,директор предприятия,400000,да
Айнейдинов,Василий,муж,28,156,Владимир,учитель,45000,нет
Айпейдинова,Мария,жен,23,168,Уфа,кондитер,80000,да
Айсулова,Юлия,жен,45,158,Казань,директор предприятия,50000,да
Акатышева,Кристина,жен,56,176,Ачинск,учитель,70000,да
Акжиштова,Марина,жен,54,171,Москва,конструктор,250000,да
Акиндеев,Никита,муж,30,158,Калининград,ведущий инженер,300000,нет
Акиншев,Александр,муж,28,166,Рязань,ведущий инженер,600000,да
Акиняна,Ольга,жен,20,166,Омск,директор предприятия,150000,да
Акмалдинов,Максим,муж,36,171,Москва,директор предприятия,50000,нет
Аконджанов,Пётр,муж,53,170,Ачинск,конструктор,35000,нет
Аксеничев,Максим,муж,54,182,Рязань,руководитель группы,70000,да
Аксинина,Дарья,жен,28,174,Омск,конструктор,60000,нет
Актимирова,Ольга,жен,56,174,Владимир,инженер,200000,да
Акулькина,Кристина,жен,42,176,Ачинск,директор предприятия,45000,да
Акумбекова,Дарья,жен,35,173,Владимир,инженер,250000,да
Акчарова,Анастасия,жен,34,182,Москва,руководитель группы,20000,да
Алабердиев,Пётр,муж,52,182,Калининград,инженер,900000,нет
Алалуева,Анна,жен,53,175,Омск,ведущий инженер,25000,нет
Алатов,Максим,муж,38,187,Рязань,бухгалтер,80000,да
Алдашева,Анастасия,жен,58,186,Казань,руководитель группы,45000,да
Алдонов,Антон,муж,21,161,Ачинск,руководитель группы,900000,нет
Алегина,Марина,жен,57,180,Ачинск,инженер,30000,да
Алеков,Сергей,муж,18,156,Уфа,директор предприятия,35000,нет
Алексакова,Юлия,жен,59,168,Казань,инженер,200000,да
Алексанчикова,Диана,жен,33,158,Владимир,кондитер,20000,да
Алексев,Антон,муж,25,170,Москва,директор предприятия,400000,нет
Алексейчука,Кристина,жен,54,187,Рязань,руководитель группы,70000,да
Алексенов,Никита,муж,42,169,Санкт-Петербург,инженер,80000,нет
Алеманов,Василий,муж,29,176,Казань,кондитер,60000,нет
Аленова,Евгения,жен,47,161,Владимир,ведущий инженер,400000,да
Алесов,Максим,муж,24,187,Уфа,бухгалтер,40000,да
Ализайа,Диана,жен,25,166,Уфа,руководитель группы,400000,да
Алимкова,Юлия,жен,59,184,Омск,кондитер,35000,нет
